id,name,age,salary,hire_date,department,bonus,address,phone,email
1,Name_103,77.0,60000.0,,Marketing,8634.0,"Street 45, City 10",1280468483,email_204@example.com
2,Name_436,62.0,50000.0,2022-06-02,Marketing,4782.0,,,
3,Name_861,61.0,60000.0,2023-05-02,HR,9493.0,"Street 90, City 4",9975330249,email_392@example.com
4,Name_271,36.0,70000.0,2018-01-08,Unknown,8111.0,,,
5,Name_107,78.0,60000.0,2023-11-11,IT,8391.0,"Street 76, City 14",8080492134,email_601@example.com
6,Name_72,35.0,60000.0,2023-12-02,IT,6844.0,"Street 31, City 6",1634908366,email_879@example.com
7,Name_701,73.0,60000.0,2023-07-20,Finance,,"Street 79, City 6",7526481166,email_490@example.com
8,Name_21,18.0,60000.0,2021-10-21,IT,,,,
9,Name_615,42.0,50000.0,2022-07-22,IT,4458.0,"Street 76, City 6",4894548001,email_786@example.com
10,Name_122,44.0,50000.0,2023-05-12,HR,5772.0,"Street 2, City 48",1300499011,email_291@example.com
11,Name_467,24.0,70000.0,2017-01-26,Finance,9306.0,"Street 76, City 43",9886103356,email_943@example.com
12,Name_215,61.0,60000.0,2024-04-06,IT,9662.0,"Street 44, City 9",1001487462,email_9@example.com
13,Name_331,59.0,70000.0,2023-07-12,IT,9364.0,"Street 83, City 42",1077634502,email_512@example.com
14,Name_459,46.0,60000.0,2017-02-27,Unknown,8081.0,"Street 71, City 6",4838798024,email_257@example.com
15,Name_88,48.0,60000.0,2017-12-10,IT,2548.0,"Street 55, City 29",2076102799,email_112@example.com
16,Name_373,61.0,60000.0,2018-02-07,HR,8796.0,"Street 76, City 39",4960789692,email_395@example.com
17,Name_100,60.0,60000.0,2018-09-15,IT,4410.0,"Street 88, City 50",5697095427,email_532@example.com
18,Name_872,53.0,60000.0,2016-03-19,IT,5691.0,"Street 31, City 38",4315338100,email_495@example.com
19,Name_664,36.0,50000.0,2016-08-14,Marketing,3752.0,"Street 12, City 21",3381245452,email_694@example.com
20,Name_131,23.0,70000.0,2019-03-31,IT,4392.0,"Street 98, City 43",5885285020,email_627@example.com
21,Name_662,42.0,60000.0,2016-04-22,Finance,5208.0,"Street 64, City 45",3181459422,email_415@example.com
22,Name_309,48.0,70000.0,,Marketing,3366.0,"Street 35, City 33",2670881258,email_70@example.com
23,Name_770,26.0,60000.0,2025-01-29,Finance,8874.0,"Street 5, City 14",4449722807,email_838@example.com
24,Name_344,37.0,70000.0,2017-05-23,Finance,5538.0,"Street 77, City 10",8034931947,email_319@example.com
25,Name_492,27.0,60000.0,2024-07-20,HR,3803.0,"Street 77, City 24",7559071294,email_862@example.com
26,Name_414,54.0,60000.0,2023-07-10,IT,3133.0,"Street 45, City 26",2274684932,email_809@example.com
27,Name_806,44.0,60000.0,2025-03-17,Finance,2855.0,"Street 51, City 19",8637489638,email_636@example.com
28,Name_386,30.0,70000.0,2017-03-29,IT,5492.0,"Street 57, City 1",7069447938,email_197@example.com
29,Name_192,58.0,70000.0,,IT,5842.0,"Street 75, City 20",9762617929,email_66@example.com
30,Name_956,19.0,60000.0,2020-06-14,HR,4043.0,"Street 33, City 39",8788817668,email_403@example.com
31,Name_277,67.0,70000.0,2016-05-08,HR,1405.0,"Street 54, City 36",3338101054,email_544@example.com
32,Name_161,38.0,50000.0,2025-03-05,Finance,4693.0,"Street 53, City 3",1200348141,email_958@example.com
33,Name_460,50.0,70000.0,2019-04-24,Finance,1055.0,"Street 76, City 38",3859021925,email_922@example.com
34,Name_314,41.0,60000.0,2024-11-17,Marketing,7692.0,"Street 17, City 3",8716065808,email_552@example.com
35,Name_22,70.0,50000.0,2022-11-29,IT,2016.0,"Street 15, City 17",4399753783,email_351@example.com
36,Name_253,61.0,50000.0,2023-09-15,IT,8413.0,"Street 58, City 30",1497492474,email_72@example.com
37,Name_748,59.0,70000.0,2020-10-07,HR,2772.0,"Street 95, City 37",2627787448,email_651@example.com
38,Name_857,51.0,60000.0,2023-05-05,HR,6170.0,"Street 66, City 19",9720168209,email_16@example.com
39,Name_561,77.0,60000.0,2019-07-16,Finance,3998.0,"Street 42, City 4",4802461993,email_161@example.com
40,Name_475,26.0,60000.0,,Marketing,,"Street 57, City 40",3940686935,email_684@example.com
41,Name_59,19.0,50000.0,2021-04-22,Marketing,7775.0,"Street 37, City 2",7581665066,email_928@example.com
42,Name_511,72.0,60000.0,2018-07-04,HR,4554.0,"Street 72, City 16",5307846228,email_147@example.com
43,Name_682,73.0,50000.0,2017-02-03,HR,5192.0,"Street 35, City 16",1153599551,email_590@example.com
44,Name_476,47.0,60000.0,2017-04-06,Marketing,6372.0,"Street 49, City 39",2281834021,email_464@example.com
45,Name_700,48.0,60000.0,2019-03-02,Marketing,1937.0,"Street 82, City 40",3370482288,email_219@example.com
46,Name_976,63.0,70000.0,2017-10-31,Finance,3498.0,"Street 22, City 38",8080761188,email_440@example.com
47,Name_783,28.0,60000.0,2021-12-06,Marketing,1276.0,"Street 13, City 44",1947928703,email_106@example.com
48,Name_190,72.0,50000.0,2016-04-14,IT,5454.0,"Street 1, City 7",2305497485,email_593@example.com
49,Name_958,60.0,70000.0,,Marketing,6414.0,"Street 34, City 10",8425863309,email_898@example.com
50,Name_687,34.0,50000.0,2018-05-17,Unknown,2368.0,"Street 88, City 38",3562455586,email_579@example.com
51,Name_958,53.0,70000.0,2022-07-17,Marketing,8022.0,"Street 64, City 48",5822481589,email_531@example.com
52,Name_563,30.0,50000.0,2022-04-18,HR,2119.0,,,
53,Name_876,24.0,60000.0,2022-10-02,HR,2931.0,"Street 17, City 39",8437546970,email_395@example.com
54,Name_567,33.0,60000.0,2022-11-23,Unknown,3669.0,"Street 18, City 42",4904172907,email_824@example.com
55,Name_244,50.0,60000.0,2021-03-13,IT,2095.0,,,
56,Name_832,62.0,60000.0,,Marketing,5647.0,"Street 63, City 25",1987600815,email_831@example.com
57,Name_505,18.0,60000.0,2024-03-02,Marketing,8636.0,"Street 3, City 41",7312980276,email_568@example.com
58,Name_131,28.0,70000.0,2023-05-21,Unknown,3309.0,"Street 50, City 21",1242383713,email_194@example.com
59,Name_485,23.0,60000.0,2024-10-06,Finance,3317.0,"Street 27, City 50",4173970656,email_526@example.com
60,Name_819,37.0,60000.0,2022-11-09,Finance,3664.0,"Street 51, City 5",5742399455,email_356@example.com
