id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,,"{""address"": ""Street 45, City 10"", ""phone"": ""1280468483"", ""email"": ""email_204@example.com""}",Marketing,8634.0
2,Name_436,62.0,50000,2022-06-02,,Marketing,4782.0
3,Name_861,61.0,60000,2023-05-02,"{""address"": ""Street 90, City 4"", ""phone"": ""9975330249"", ""email"": ""email_392@example.com""}",HR,9493.0
4,Name_271,36.0,70000,2018-01-08,,,8111.0
5,Name_107,78.0,60000,2023-11-11,"{""address"": ""Street 76, City 14"", ""phone"": ""8080492134"", ""email"": ""email_601@example.com""}",IT,8391.0
6,Name_72,35.0,,2023-12-02,"{""address"": ""Street 31, City 6"", ""phone"": ""1634908366"", ""email"": ""email_879@example.com""}",IT,6844.0
7,Name_701,73.0,60000,2023-07-20,"{""address"": ""Street 79, City 6"", ""phone"": ""7526481166"", ""email"": ""email_490@example.com""}",Finance,
8,Name_21,18.0,60000,2021-10-21,,IT,
9,Name_615,42.0,50000,2022-07-22,"{""address"": ""Street 76, City 6"", ""phone"": ""4894548001"", ""email"": ""email_786@example.com""}",IT,4458.0
10,Name_122,44.0,50000,2023-05-12,"{""address"": ""Street 2, City 48"", ""phone"": ""1300499011"", ""email"": ""email_291@example.com""}",HR,5772.0
11,Name_467,24.0,70000,2017-01-26,"{""address"": ""Street 76, City 43"", ""phone"": ""9886103356"", ""email"": ""email_943@example.com""}",Finance,9306.0
12,Name_215,61.0,,2024-04-06,"{""address"": ""Street 44, City 9"", ""phone"": ""1001487462"", ""email"": ""email_9@example.com""}",IT,9662.0
13,Name_331,59.0,70000,2023-07-12,"{""address"": ""Street 83, City 42"", ""phone"": ""1077634502"", ""email"": ""email_512@example.com""}",IT,9364.0
14,Name_459,46.0,,2017-02-27,"{""address"": ""Street 71, City 6"", ""phone"": ""4838798024"", ""email"": ""email_257@example.com""}",,8081.0
15,Name_88,48.0,,2017-12-10,"{""address"": ""Street 55, City 29"", ""phone"": ""2076102799"", ""email"": ""email_112@example.com""}",IT,2548.0
