id,name,age,salary,hire_date,department,bonus,address,phone,email,address_length,salary_category
1,Name_103,77.0,60000.0,,Marketing,8634.0,"Street 45, City 10",1280468483.0,email_204@example.com,18,medium
2,Name_436,62.0,50000.0,2022-06-02,Marketing,4782.0,,,,3,low
3,Name_861,61.0,60000.0,2023-05-02,HR,9493.0,"Street 90, City 4",9975330249.0,email_392@example.com,17,medium
4,Name_271,36.0,70000.0,2018-01-08,Unknown,8111.0,,,,3,medium
5,Name_107,78.0,60000.0,2023-11-11,IT,8391.0,"Street 76, City 14",8080492134.0,email_601@example.com,18,medium
6,Name_72,35.0,60000.0,2023-12-02,IT,6844.0,"Street 31, City 6",1634908366.0,email_879@example.com,17,medium
7,Name_701,73.0,60000.0,2023-07-20,Finance,,"Street 79, City 6",7526481166.0,email_490@example.com,17,medium
8,Name_21,18.0,60000.0,2021-10-21,IT,,,,,3,medium
9,Name_615,42.0,50000.0,2022-07-22,IT,4458.0,"Street 76, City 6",4894548001.0,email_786@example.com,17,low
10,Name_122,44.0,50000.0,2023-05-12,HR,5772.0,"Street 2, City 48",1300499011.0,email_291@example.com,17,low
11,Name_467,24.0,70000.0,2017-01-26,Finance,9306.0,"Street 76, City 43",9886103356.0,email_943@example.com,18,medium
12,Name_215,61.0,60000.0,2024-04-06,IT,9662.0,"Street 44, City 9",1001487462.0,email_9@example.com,17,medium
13,Name_331,59.0,70000.0,2023-07-12,IT,9364.0,"Street 83, City 42",1077634502.0,email_512@example.com,18,medium
14,Name_459,46.0,60000.0,2017-02-27,Unknown,8081.0,"Street 71, City 6",4838798024.0,email_257@example.com,17,medium
15,Name_88,48.0,60000.0,2017-12-10,IT,2548.0,"Street 55, City 29",2076102799.0,email_112@example.com,18,medium
16,Name_373,61.0,60000.0,2018-02-07,HR,8796.0,"Street 76, City 39",4960789692.0,email_395@example.com,18,medium
17,Name_100,60.0,60000.0,2018-09-15,IT,4410.0,"Street 88, City 50",5697095427.0,email_532@example.com,18,medium
18,Name_872,53.0,60000.0,2016-03-19,IT,5691.0,"Street 31, City 38",4315338100.0,email_495@example.com,18,medium
19,Name_664,36.0,50000.0,2016-08-14,Marketing,3752.0,"Street 12, City 21",3381245452.0,email_694@example.com,18,low
20,Name_131,23.0,70000.0,2019-03-31,IT,4392.0,"Street 98, City 43",5885285020.0,email_627@example.com,18,medium
21,Name_662,42.0,60000.0,2016-04-22,Finance,5208.0,"Street 64, City 45",3181459422.0,email_415@example.com,18,medium
22,Name_309,48.0,70000.0,,Marketing,3366.0,"Street 35, City 33",2670881258.0,email_70@example.com,18,medium
23,Name_770,26.0,60000.0,2025-01-29,Finance,8874.0,"Street 5, City 14",4449722807.0,email_838@example.com,17,medium
24,Name_344,37.0,70000.0,2017-05-23,Finance,5538.0,"Street 77, City 10",8034931947.0,email_319@example.com,18,medium
25,Name_492,27.0,60000.0,2024-07-20,HR,3803.0,"Street 77, City 24",7559071294.0,email_862@example.com,18,medium
26,Name_414,54.0,60000.0,2023-07-10,IT,3133.0,"Street 45, City 26",2274684932.0,email_809@example.com,18,medium
27,Name_806,44.0,60000.0,2025-03-17,Finance,2855.0,"Street 51, City 19",8637489638.0,email_636@example.com,18,medium
28,Name_386,30.0,70000.0,2017-03-29,IT,5492.0,"Street 57, City 1",7069447938.0,email_197@example.com,17,medium
29,Name_192,58.0,70000.0,,IT,5842.0,"Street 75, City 20",9762617929.0,email_66@example.com,18,medium
30,Name_956,19.0,60000.0,2020-06-14,HR,4043.0,"Street 33, City 39",8788817668.0,email_403@example.com,18,medium
